,Similar_metric,DTW
p100_ResNet50_batchsize64_datasize128_total_epoch10_totaldata5000,g5_InceptionResNetV2_batchsize64_datasize128_total_epoch10_totaldata5000,1.5099084213688438
p100_ResNet50_batchsize128_datasize64_total_epoch10_totaldata5000,g5_InceptionV3_batchsize64_datasize128_total_epoch10_totaldata5000,4.657119201652272
p100_ResNet50_batchsize16_datasize224_total_epoch10_totaldata2000,p3_ResNet50_batchsize16_datasize128_total_epoch10_totaldata5000,1.0038765933798697
p100_ResNet50_batchsize32_datasize32_total_epoch10_totaldata50000,p3_InceptionResNetV2_batchsize32_datasize128_total_epoch10_totaldata5000,2.3170043933284887
p100_ResNet50_batchsize128_datasize32_total_epoch10_totaldata50000,p3_MNIST_CNN_batchsize64_datasize256_total_epoch10_totaldata2000,11.767922250673006
p100_ResNet50_batchsize64_datasize64_total_epoch10_totaldata5000,p3_ResNet50_batchsize128_datasize128_total_epoch10_totaldata5000,5.287197008649594
p100_ResNet50_batchsize256_datasize128_total_epoch10_totaldata5000,p3_ResNet50_batchsize256_datasize32_total_epoch10_totaldata50000,0.8603593390905071
p100_ResNet50_batchsize64_datasize224_total_epoch10_totaldata2000,p3_ResNet50_batchsize256_datasize32_total_epoch10_totaldata50000,0.7488640592910566
p100_ResNet50_batchsize64_datasize32_total_epoch10_totaldata50000,g4dn_CIFAR10_CNN_batchsize64_datasize64_total_epoch10_totaldata5000,4.79773384069834
p100_ResNet50_batchsize128_datasize128_total_epoch10_totaldata5000,p3_ResNet50_batchsize16_datasize256_total_epoch10_totaldata2000,0.9528811866291976
p100_ResNet50_batchsize256_datasize32_total_epoch10_totaldata50000,g5_InceptionResNetV2_batchsize32_datasize256_total_epoch10_totaldata2000,7.5602692424249005
p100_ResNet50_batchsize32_datasize128_total_epoch10_totaldata5000,g5_InceptionResNetV2_batchsize32_datasize224_total_epoch10_totaldata2000,1.1963649163630987
p100_ResNet50_batchsize16_datasize32_total_epoch10_totaldata50000,p3_InceptionResNetV2_batchsize32_datasize128_total_epoch10_totaldata5000,3.7348461428950515
p100_ResNet50_batchsize256_datasize64_total_epoch10_totaldata5000,g5_ResNetSmall_batchsize128_datasize224_total_epoch10_totaldata2000,4.599421684002138
