,Similar_metric,DTW
p100_ResNet50_batchsize16_datasize128_total_epoch10_totaldata5000,g4dn_InceptionV3_batchsize128_datasize128_total_epoch10_totaldata5000,0.66485006297675
p100_ResNet50_batchsize128_datasize224_total_epoch10_totaldata2000,g5_InceptionResNetV2_batchsize128_datasize224_total_epoch10_totaldata2000,0.5506804068083028
p100_ResNet50_batchsize64_datasize256_total_epoch10_totaldata2000,g5_InceptionResNetV2_batchsize64_datasize224_total_epoch10_totaldata2000,2.185762510312285
p100_ResNet50_batchsize32_datasize224_total_epoch10_totaldata2000,p3_ResNet50_batchsize16_datasize128_total_epoch10_totaldata5000,0.7233775071733529
p100_ResNet50_batchsize32_datasize64_total_epoch10_totaldata5000,p3_ResNet50_batchsize32_datasize64_total_epoch10_totaldata5000,4.2609608901936165
p100_ResNet50_batchsize32_datasize256_total_epoch10_totaldata2000,g4dn_InceptionV3_batchsize64_datasize128_total_epoch10_totaldata5000,0.8209741796623041
p100_InceptionResNetV2_batchsize64_datasize256_total_epoch10_totaldata2000,p3_InceptionResNetV2_batchsize32_datasize128_total_epoch10_totaldata5000,3.300156626094494
p100_InceptionResNetV2_batchsize128_datasize128_total_epoch10_totaldata5000,p3_InceptionResNetV2_batchsize32_datasize256_total_epoch10_totaldata2000,0.4855402742709175
p100_InceptionResNetV2_batchsize64_datasize128_total_epoch10_totaldata5000,p3_InceptionResNetV2_batchsize32_datasize256_total_epoch10_totaldata2000,0.5458190374166724
p100_InceptionResNetV2_batchsize64_datasize224_total_epoch10_totaldata2000,g4dn_AlexNet_batchsize256_datasize128_total_epoch10_totaldata5000,0.6611546877292444
p100_InceptionResNetV2_batchsize16_datasize256_total_epoch10_totaldata2000,g4dn_VGG19_batchsize256_datasize128_total_epoch10_totaldata5000,2.5067322027724837
p100_InceptionResNetV2_batchsize16_datasize224_total_epoch10_totaldata2000,p3_InceptionResNetV2_batchsize32_datasize128_total_epoch10_totaldata5000,3.10755766620633
p100_InceptionResNetV2_batchsize16_datasize128_total_epoch10_totaldata5000,g4dn_InceptionResNetV2_batchsize128_datasize128_total_epoch10_totaldata5000,0.9539633077479768
p100_InceptionResNetV2_batchsize256_datasize128_total_epoch10_totaldata5000,p3_InceptionResNetV2_batchsize32_datasize256_total_epoch10_totaldata2000,0.4988634921027075
p100_InceptionResNetV2_batchsize32_datasize128_total_epoch10_totaldata5000,p3_InceptionResNetV2_batchsize32_datasize128_total_epoch10_totaldata5000,1.2043285875081051
p100_InceptionResNetV2_batchsize32_datasize256_total_epoch10_totaldata2000,p3_InceptionResNetV2_batchsize32_datasize128_total_epoch10_totaldata5000,2.0571941401332987
p100_InceptionResNetV2_batchsize32_datasize224_total_epoch10_totaldata2000,p3_InceptionResNetV2_batchsize16_datasize256_total_epoch10_totaldata2000,3.6564302455752102
p100_InceptionResNetV2_batchsize128_datasize224_total_epoch10_totaldata2000,p3_InceptionResNetV2_batchsize64_datasize224_total_epoch10_totaldata2000,2.029969283822039
p100_LeNet5_batchsize256_datasize64_total_epoch10_totaldata5000,g5_MNIST_CNN_batchsize64_datasize64_total_epoch10_totaldata5000,0.7893982450057
p100_LeNet5_batchsize128_datasize224_total_epoch10_totaldata2000,p3_ResNetSmall_batchsize64_datasize256_total_epoch10_totaldata2000,3.2536533741810043
p100_LeNet5_batchsize32_datasize128_total_epoch10_totaldata5000,g5_ResNetSmall_batchsize128_datasize224_total_epoch10_totaldata2000,1.293419023174821
p100_LeNet5_batchsize64_datasize224_total_epoch10_totaldata2000,p3_ResNetSmall_batchsize128_datasize256_total_epoch10_totaldata2000,4.103466330327415
p100_LeNet5_batchsize256_datasize32_total_epoch10_totaldata50000,p3_CIFAR10_CNN_batchsize64_datasize64_total_epoch10_totaldata5000,1.611441723837319
p100_LeNet5_batchsize128_datasize64_total_epoch10_totaldata5000,p3_MNIST_CNN_batchsize256_datasize64_total_epoch10_totaldata5000,0.8640572202446921
p100_LeNet5_batchsize32_datasize32_total_epoch10_totaldata50000,g5_AlexNet_batchsize256_datasize64_total_epoch10_totaldata5000,4.591826922348372
p100_LeNet5_batchsize16_datasize256_total_epoch10_totaldata2000,g4dn_MNIST_CNN_batchsize64_datasize32_total_epoch10_totaldata50000,3.996387956053975
p100_LeNet5_batchsize16_datasize32_total_epoch10_totaldata50000,g4dn_LeNet5_batchsize16_datasize32_total_epoch10_totaldata50000,0.438403688228952
p100_LeNet5_batchsize64_datasize64_total_epoch10_totaldata5000,p3_CIFAR10_CNN_batchsize256_datasize64_total_epoch10_totaldata5000,1.0381606136285884
p100_LeNet5_batchsize32_datasize64_total_epoch10_totaldata5000,p3_MNIST_CNN_batchsize128_datasize128_total_epoch10_totaldata5000,1.2473636016133651
p100_LeNet5_batchsize64_datasize32_total_epoch10_totaldata50000,g4dn_MNIST_CNN_batchsize16_datasize64_total_epoch10_totaldata5000,5.160756345021304
p100_LeNet5_batchsize128_datasize256_total_epoch10_totaldata2000,g5_VGG19_batchsize256_datasize224_total_epoch10_totaldata2000,5.507232881321269
p100_LeNet5_batchsize256_datasize128_total_epoch10_totaldata5000,p3_MNIST_CNN_batchsize64_datasize64_total_epoch10_totaldata5000,1.6381401511752711
p100_LeNet5_batchsize32_datasize256_total_epoch10_totaldata2000,g5_ResNetSmall_batchsize128_datasize256_total_epoch10_totaldata2000,3.274180919296005
p100_LeNet5_batchsize16_datasize128_total_epoch10_totaldata5000,p3_MNIST_CNN_batchsize16_datasize224_total_epoch10_totaldata2000,2.9878531914053426
p100_LeNet5_batchsize64_datasize128_total_epoch10_totaldata5000,g5_MNIST_CNN_batchsize128_datasize128_total_epoch10_totaldata5000,1.2182102069296017
p100_LeNet5_batchsize32_datasize224_total_epoch10_totaldata2000,p3_ResNetSmall_batchsize256_datasize128_total_epoch10_totaldata5000,2.1234804512720618
p100_LeNet5_batchsize64_datasize256_total_epoch10_totaldata2000,g5_LeNet5_batchsize16_datasize128_total_epoch10_totaldata5000,3.7872457917587847
p100_LeNet5_batchsize128_datasize32_total_epoch10_totaldata50000,g5_MNIST_CNN_batchsize64_datasize224_total_epoch10_totaldata2000,3.5888531734107323
p100_LeNet5_batchsize16_datasize224_total_epoch10_totaldata2000,p3_ResNetSmall_batchsize128_datasize256_total_epoch10_totaldata2000,5.473977099525675
p100_LeNet5_batchsize256_datasize224_total_epoch10_totaldata2000,p3_ResNetSmall_batchsize128_datasize224_total_epoch10_totaldata2000,2.880095059330768
p100_LeNet5_batchsize128_datasize128_total_epoch10_totaldata5000,p3_ResNetSmall_batchsize128_datasize64_total_epoch10_totaldata5000,1.0161653736747556
p100_LeNet5_batchsize16_datasize64_total_epoch10_totaldata5000,g4dn_VGG19_batchsize128_datasize64_total_epoch10_totaldata5000,6.6694378122577636
p100_LeNet5_batchsize256_datasize256_total_epoch10_totaldata2000,g5_MNIST_CNN_batchsize32_datasize64_total_epoch10_totaldata5000,3.309837175121683
p100_ResNetSmall_batchsize64_datasize128_total_epoch10_totaldata5000,g5_ResNetSmall_batchsize32_datasize128_total_epoch10_totaldata5000,2.589447922302664
p100_ResNetSmall_batchsize128_datasize224_total_epoch10_totaldata2000,p3_ResNetSmall_batchsize64_datasize256_total_epoch10_totaldata2000,3.8637025033482937
p100_ResNetSmall_batchsize32_datasize224_total_epoch10_totaldata2000,g5_CIFAR10_CNN_batchsize16_datasize64_total_epoch10_totaldata5000,3.4119252524779657
p100_ResNetSmall_batchsize16_datasize256_total_epoch10_totaldata2000,g5_ResNetSmall_batchsize16_datasize128_total_epoch10_totaldata5000,1.9345888902417328
p100_ResNetSmall_batchsize64_datasize224_total_epoch10_totaldata2000,g5_MNIST_CNN_batchsize128_datasize32_total_epoch10_totaldata50000,3.3153774112081185
p100_ResNetSmall_batchsize16_datasize128_total_epoch10_totaldata5000,g5_MNIST_CNN_batchsize16_datasize64_total_epoch10_totaldata5000,3.2809639712592067
